Length,Height,Weight,Age
0.53,0.135,0.677,Adult
0.53,0.15,0.7775,Adult
0.545,0.125,0.768,Adult
0.55,0.15,0.8945,Adult
0.525,0.14,0.6065,Adult
0.535,0.145,0.6845,Adult
0.47,0.1,0.4755,Adult
0.44,0.1,0.451,Adult
0.565,0.155,0.9395,Adult
0.55,0.135,0.7635,Adult
0.615,0.165,1.1615,Adult
0.56,0.14,0.9285,Adult
0.58,0.185,0.9955,Adult
0.68,0.165,1.639,Adult
0.68,0.175,1.798,Adult
0.705,0.2,1.7095,Adult
0.54,0.155,1.217,Adult
0.45,0.105,0.5225,Adult
0.575,0.135,0.883,Adult
0.45,0.105,0.425,Adult
0.55,0.135,0.8515,Adult
0.46,0.12,0.4605,Adult
0.525,0.16,0.8355,Adult
0.47,0.12,0.4775,Adult
0.5,0.14,0.6615,Adult
0.505,0.125,0.583,Adult
0.53,0.13,0.6965,Adult
0.565,0.16,0.915,Adult
0.595,0.185,1.285,Adult
0.475,0.12,0.5305,Adult
0.4,0.11,0.353,Adult
0.595,0.17,1.247,Adult
0.605,0.195,1.098,Adult
0.6,0.15,1.0075,Adult
0.6,0.15,0.922,Adult
0.555,0.14,0.788,Adult
0.615,0.17,1.1025,Adult
0.575,0.14,0.941,Adult
0.52,0.165,0.9885,Adult
0.57,0.18,1.295,Adult
0.46,0.13,0.517,Adult
0.575,0.16,0.9775,Adult
0.625,0.165,1.262,Adult
0.475,0.125,0.5785,Adult
0.52,0.155,0.727,Adult
0.545,0.165,0.802,Adult
0.5,0.125,0.6675,Adult
0.51,0.135,0.6335,Adult
0.435,0.105,0.3635,Adult
0.545,0.125,0.6935,Adult
0.53,0.115,0.5915,Adult
0.49,0.135,0.6125,Adult
0.56,0.15,0.8825,Adult
0.47,0.105,0.4205,Adult
0.515,0.14,0.766,Adult
0.44,0.125,0.4035,Adult
0.325,0.09,0.1915,Adult
0.425,0.115,0.406,Adult
0.305,0.08,0.156,Adult
0.405,0.11,0.3555,Adult
0.565,0.155,0.826,Adult
0.55,0.145,0.741,Adult
0.49,0.125,0.549,Adult
0.605,0.185,1.1185,Adult
